Site,Latitude,Longitude,Elevation,AvgDepth,AvgTemp
HarryPotter,70.032,-152.194,12.3,2.267232,5.615039999999999
Hipbone,70.236,-152.186,21,2.008695652173913,10.704347826086956
Iceshove,70.17,-152.785,20.3,1.781304347826087,10.880434782608695
L9817,70.233,-151.339,16.1,2.606926503340757,5.947661469933185
L9819,70.27,-151.355,8.2,1.7278382147838212,5.605090655509071
L9820,70.267,-151.387,9.5,1.0780334728033476,5.542259414225941
LittleAlaska,70.032,-152.194,28.9,1.203138936535163,5.2080617495711845
LowerSnowman,70.097,-152.074,27.4,1.2003144654088052,7.196855345911951
M9925,70.247,-151.478,14.7,0.8876721014492754,6.967934782608695
MiddleSnowman,70.113,-152.077,26.3,1.1207129455909943,6.388742964352721
Serenity,70.246,-152.141,12,3.876595744680851,10.704255319148936
